segment,customer_count,total_revenue,avg_revenue,avg_frequency,avg_recency,pct_of_customers,pct_of_revenue
Champions,6461,761027227.57,117787.84,8.78,83.4,20.82,56.91
Loyal Customers,4721,234216597.94,49611.65,3.96,320.7,15.21,17.51
Potential Loyalists,3415,70721675.61,20709.13,1.62,105.4,11.0,5.29
New Customers,1181,15284317.02,12941.84,1.0,110.1,3.81,1.14
At Risk,1723,58271449.39,33819.76,2.01,644.8,5.55,4.36
Can't Lose Them,214,12124763.06,56657.77,3.2,779.0,0.69,0.91
Hibernating,12286,181881343.92,14803.95,1.31,571.7,39.59,13.6
Lost,1033,3787956.61,3666.95,1.0,876.4,3.33,0.28
